order_datetime,item_name,category,qty,price
2022-01-01,Water,Drinks,3,1.0
2022-01-01,Chicken Melt,Starters,1,8.0
2022-01-01,Orange Juice,Drinks,1,3.0
2022-01-01,Grilled Chicken,Main Dishes,2,15.0
2022-01-01,Chicken Melt,Starters,5,8.0
2022-01-01,Grilled Chicken,Main Dishes,2,15.0
2022-01-01,French Fries,Starters,5,4.0
2022-01-01,Coca Cola,Drinks,4,2.5
2022-01-01,Fruit Salad,Desserts,1,4.0
2022-01-01,Chocolate Cake,Desserts,3,6.0
2022-01-01,Grilled Chicken,Main Dishes,4,15.0
2022-01-01,Brownie,Desserts,4,6.0
2022-01-01,Fruit Salad,Desserts,1,4.0
2022-01-01,Water,Drinks,4,1.0
2022-01-01,Grilled Vegetables,Side Dishes,3,5.0
2022-01-01,Ice Cream,Desserts,1,5.0
2022-01-01,Salmon,Main Dishes,4,18.0
2022-01-01,Ice Cream,Desserts,5,5.0
2022-01-01,Cheesecake,Desserts,5,7.0
2022-01-01,Lemonade,Drinks,4,3.0
2022-01-01,Chocolate Cake,Desserts,1,6.0
2022-01-01,Coca Cola,Drinks,4,2.5
2022-01-01,Grilled Chicken,Main Dishes,3,15.0
2022-01-01,Grilled Chicken,Main Dishes,5,15.0
2022-01-02,Grilled Chicken,Main Dishes,4,15.0
2022-01-02,Mashed Potatoes,Side Dishes,5,4.0
2022-01-02,Grilled Chicken,Main Dishes,4,15.0
2022-01-02,Nachos Grande,Starters,1,10.0
2022-01-02,Mashed Potatoes,Side Dishes,3,4.0
2022-01-02,Chocolate Cake,Desserts,4,6.0
2022-01-02,Mashed Potatoes,Side Dishes,4,4.0
2022-01-02,Pasta Alfredo,Main Dishes,5,12.0
2022-01-02,Ice Cream,Desserts,2,5.0
2022-01-02,Pasta Alfredo,Main Dishes,1,12.0
2022-01-02,Orange Juice,Drinks,3,3.0
2022-01-02,Mashed Potatoes,Side Dishes,1,4.0
2022-01-02,Ice Cream,Desserts,5,5.0
2022-01-02,Ice Cream,Desserts,1,5.0
2022-01-02,Fruit Salad,Desserts,2,4.0
2022-01-02,Water,Drinks,2,1.0
2022-01-02,Brownie,Desserts,3,6.0
2022-01-02,Mashed Potatoes,Side Dishes,3,4.0
2022-01-02,Beef Chili,Starters,1,7.0
2022-01-02,Pasta Alfredo,Main Dishes,2,12.0
2022-01-02,French Fries,Starters,4,4.0
2022-01-02,Ice Cream,Desserts,5,5.0
2022-01-02,Water,Drinks,5,1.0
2022-01-02,Salmon,Main Dishes,1,18.0
2022-01-02,French Fries,Starters,2,4.0
2022-01-02,Orange Juice,Drinks,3,3.0
2022-01-03,Water,Drinks,4,1.0
2022-01-03,Mashed Potatoes,Side Dishes,1,4.0
2022-01-03,Garlic Bread,Side Dishes,5,4.0
2022-01-03,Side Salad,Side Dishes,2,3.0
2022-01-03,Orange Juice,Drinks,3,3.0
2022-01-03,Brownie,Desserts,2,6.0
2022-01-03,Vegetarian Platter,Main Dishes,1,14.0
2022-01-03,Grilled Chicken,Main Dishes,2,15.0
2022-01-03,Orange Juice,Drinks,4,3.0
2022-01-03,Sweet Potato Fries,Starters,4,5.0
2022-01-03,Grilled Vegetables,Side Dishes,5,5.0
2022-01-03,Grilled Chicken,Main Dishes,2,15.0
2022-01-03,Water,Drinks,3,1.0
2022-01-03,Cheese Fries,Starters,1,5.0
2022-01-03,Side Salad,Side Dishes,4,3.0
2022-01-03,French Fries,Starters,5,4.0
2022-01-03,Beef Chili,Starters,5,7.0
2022-01-03,Orange Juice,Drinks,4,3.0
2022-01-03,Mashed Potatoes,Side Dishes,1,4.0
2022-01-03,Side Salad,Side Dishes,4,3.0
2022-01-03,Cheesecake,Desserts,2,7.0
2022-01-03,Side Salad,Side Dishes,2,3.0
2022-01-03,Chicken Melt,Starters,1,8.0
2022-01-04,Garlic Bread,Side Dishes,3,4.0
2022-01-04,Vegetarian Platter,Main Dishes,5,14.0
2022-01-04,Side Salad,Side Dishes,5,3.0
2022-01-04,Chocolate Cake,Desserts,5,6.0
2022-01-04,Coca Cola,Drinks,2,2.5
2022-01-04,Cheesecake,Desserts,2,7.0
2022-01-04,Coca Cola,Drinks,2,2.5
2022-01-04,Steak,Main Dishes,4,20.0
2022-01-04,Grilled Chicken,Main Dishes,2,15.0
2022-01-04,Water,Drinks,5,1.0
2022-01-04,Chicken Melt,Starters,2,8.0
2022-01-04,Side Salad,Side Dishes,1,3.0
2022-01-04,Grilled Chicken,Main Dishes,3,15.0
2022-01-04,Ice Cream,Desserts,5,5.0
2022-01-04,Orange Juice,Drinks,5,3.0
2022-01-04,Chocolate Cake,Desserts,5,6.0
2022-01-04,Cheesecake,Desserts,4,7.0
2022-01-04,Steak,Main Dishes,2,20.0
2022-01-04,Water,Drinks,5,1.0
2022-01-04,Orange Juice,Drinks,5,3.0
2022-01-04,Pasta Alfredo,Main Dishes,1,12.0
2022-01-04,Pasta Alfredo,Main Dishes,4,12.0
2022-01-04,Fruit Salad,Desserts,3,4.0
2022-01-05,French Fries,Starters,2,4.0
2022-01-05,Salmon,Main Dishes,5,18.0
2022-01-05,Cheese Fries,Starters,4,5.0
2022-01-05,French Fries,Starters,3,4.0
2022-01-05,French Fries,Starters,4,4.0
2022-01-05,Coca Cola,Drinks,3,2.5
2022-01-05,Pasta Alfredo,Main Dishes,5,12.0
2022-01-05,Coca Cola,Drinks,3,2.5
2022-01-05,Steak,Main Dishes,1,20.0
2022-01-05,Fruit Salad,Desserts,1,4.0
2022-01-05,Pasta Alfredo,Main Dishes,1,12.0
2022-01-05,Cheesecake,Desserts,3,7.0
2022-01-05,Cheesecake,Desserts,1,7.0
2022-01-05,Side Salad,Side Dishes,3,3.0
2022-01-05,Cheese Fries,Starters,4,5.0
2022-01-05,Pasta Alfredo,Main Dishes,5,12.0
2022-01-06,Ice Cream,Desserts,3,5.0
2022-01-06,Vegetarian Platter,Main Dishes,4,14.0
2022-01-06,Water,Drinks,5,1.0
2022-01-06,Ice Cream,Desserts,2,5.0
2022-01-06,Mashed Potatoes,Side Dishes,1,4.0
2022-01-06,Garlic Bread,Side Dishes,3,4.0
2022-01-06,Water,Drinks,2,1.0
2022-01-06,Sweet Potato Fries,Starters,2,5.0
2022-01-06,Ice Cream,Desserts,2,5.0
2022-01-06,Grilled Chicken,Main Dishes,4,15.0
2022-01-06,Ice Cream,Desserts,4,5.0
2022-01-06,Pasta Alfredo,Main Dishes,5,12.0
2022-01-06,Coca Cola,Drinks,1,2.5
2022-01-06,Grilled Chicken,Main Dishes,3,15.0
2022-01-06,Steak,Main Dishes,3,20.0
2022-01-06,Onion Rings,Side Dishes,3,5.0
2022-01-06,Grilled Chicken,Main Dishes,3,15.0
2022-01-07,French Fries,Starters,1,4.0
2022-01-07,Fruit Salad,Desserts,4,4.0
2022-01-07,Garlic Bread,Side Dishes,5,4.0
2022-01-07,Grilled Vegetables,Side Dishes,4,5.0
2022-01-07,Steak,Main Dishes,2,20.0
2022-01-07,French Fries,Starters,5,4.0
2022-01-07,Chocolate Cake,Desserts,1,6.0
2022-01-07,Garlic Bread,Side Dishes,4,4.0
2022-01-07,Beef Chili,Starters,5,7.0
2022-01-07,Nachos Grande,Starters,1,10.0
2022-01-07,Sweet Potato Fries,Starters,1,5.0
2022-01-07,Chocolate Cake,Desserts,3,6.0
2022-01-07,French Fries,Starters,1,4.0
2022-01-07,Side Salad,Side Dishes,5,3.0
2022-01-07,French Fries,Starters,1,4.0
2022-01-07,Grilled Chicken,Main Dishes,4,15.0
2022-01-07,Ice Cream,Desserts,4,5.0
