item_name,qty,order_datetime
Coca Cola,2,2024-01-02 03:14:00
Hummus Plate,2,2024-01-02 03:53:00
Chicken Burger,2,invalid_date
Hummus Plate,2,2024-01-01 21:02:00
Mashed Potatoes,1,invalid_date
  Salmon  ,1,2024-01-01 22:13:00
Margherita Pizza,1,2024-01-02 04:36:00
  Salmon  ,4,2024-01-02 04:20:00
Soup of the Day,1,invalid_date
Coca Cola,1,2024-01-01 22:58:00
  Salmon  ,3,2024-01-02 02:09:00
  Salmon  ,3,2024-01-01 22:15:00
Unknown Item 6,2,2024-01-02 03:34:00
Onion Rings,1,2024-01-01 22:37:00
Veggie Burger,1,2024-01-01 23:37:00
  Salmon  ,1,2024-01-01 23:14:00
  Salmon  ,1,2024-01-02 07:08:00
Soup of the Day,1,invalid_date
Coca Cola,1,2024-01-02 03:55:00
Mashed Potatoes,3,2024-01-01 21:40:00
  Salmon  ,1,2024-01-01 21:43:00
Unknown Item 13,2,invalid_date
Soup of the Day,2,2024-01-01 22:38:00
Apple Pie,1,2024-01-02 07:33:00
Veggie Burger,2,2024-01-01 22:35:00
Veggie Burger,1,2024-01-02 04:00:00
Hummus Plate,1,2024-01-02 03:07:00
Soup of the Day,2,2024-01-02 03:34:00
  Salmon  ,1,2024-01-02 03:49:00
  Salmon  ,4,invalid_date
Veggie Burger,1,2024-01-01 22:10:00
Soup of the Day,2,2024-01-01 23:46:00
Unknown Item 5,1,2024-01-02 04:16:00
Onion Rings,1,2024-01-02 06:48:00
Sparkling Water,1,invalid_date
Apple Pie,2,2024-01-01 21:40:00
Tea,3,2024-01-01 22:40:00
Chocolate Cake,3,2024-01-02 00:12:00
Tea,1,invalid_date
Coca Cola,2,invalid_date
  Salmon  ,2,2024-01-02 04:58:00
Caesar Salad,2,2024-01-01 18:20:00
Unknown Item 10,1,2024-01-02 00:07:00
French Fries,2,2024-01-02 04:56:00
French Fries,3,2024-01-02 06:51:00
Cheesecake,1,2024-01-01 22:03:00
Veggie Burger,3,2024-01-01 21:36:00
  Salmon  ,2,2024-01-02 05:05:00
Chicken Burger,1,2024-01-02 03:52:00
Soup of the Day,1,2024-01-01 20:48:00
Coca Cola,1,2024-01-02 01:08:00
Onion Rings,2,2024-01-01 21:30:00
Margherita Pizza,3,2024-01-02 05:10:00
Margherita Pizza,1,2024-01-01 22:55:00
Soup of the Day,3,2024-01-02 02:13:00
Onion Rings,3,2024-01-02 04:48:00
Caesar Salad,1,2024-01-02 03:12:00
Unknown Item 4,3,2024-01-02 03:25:00
Margherita Pizza,4,2024-01-02 07:41:00
Apple Juice,2,2024-01-01 22:57:00
  Salmon  ,2,2024-01-02 00:07:00
  Salmon  ,4,2024-01-01 22:04:00
Garlic Mushrooms,2,2024-01-01 22:37:00
Chicken Wings,1,2024-01-02 01:37:00
Apple Pie,3,2024-01-01 21:04:00
  Salmon  ,2,invalid_date
Margherita Pizza,2,2024-01-01 21:57:00
Tea,1,2024-01-01 19:21:00
Apple Pie,2,2024-01-01 20:15:00
Garlic Mushrooms,1,2024-01-01 22:31:00
Apple Juice,3,2024-01-01 21:08:00
Tiramisu,1,2024-01-02 03:56:00
Old Menu Item,1,2024-01-02 02:30:00
Caesar Salad,1,2024-01-01 21:30:00
  Salmon  ,1,2024-01-02 03:12:00
Margherita Pizza,2,2024-01-01 20:42:00
Unknown Item 3,3,invalid_date
Apple Juice,3,invalid_date
Veggie Burger,1,2024-01-02 03:43:00
Caesar Salad,1,2024-01-02 02:41:00
Chicken Burger,3,2024-01-01 20:25:00
Unknown Item 0,3,invalid_date
Veggie Burger,1,2024-01-02 04:15:00
Chocolate Cakes,1,2024-01-01 21:34:00
Unknown Item 12,1,2024-01-01 23:27:00
Chicken Burger,3,2024-01-01 21:29:00
Unknown Item 14,2,2024-01-01 22:59:00
Hummus Plate,1,2024-01-01 20:51:00
  Salmon  ,1,2024-01-02 04:35:00
  Salmon  ,3,2024-01-01 20:41:00
Garlic Mushrooms,1,2024-01-02 07:53:00
Veggie Burgers,1,2024-01-01 18:05:00
Margherita Pizza,2,2024-01-02 04:54:00
Hummus Plate,1,2024-01-01 21:26:00
Unknown Item 17,1,invalid_date
  Salmon  ,3,invalid_date
  Salmon  ,3,2024-01-01 20:24:00
Soup of the Day,3,2024-01-01 18:24:00
Margherita Pizza,-3,invalid_date
Margherita Pizza,2,2024-01-02 03:18:00
Garlic Mushrooms,3,2024-01-01 23:46:00
Onion Rings,1,2024-01-02 07:35:00
Chicken Wings,2,2024-01-02 02:31:00
Soup of the Day,4,invalid_date
Margherita Pizza,1,2024-01-01 21:03:00
Soup of the Day,1,2024-01-02 02:34:00
  Salmon  ,1,2024-01-01 20:20:00
Soup of the Day,1,2024-01-01 20:37:00
Veggie Burger,1,2024-01-02 00:58:00
Daily Special,3,2024-01-02 04:10:00
French Fries,4,2024-01-01 20:32:00
